"prov","fecha","total_streets","fs","fs_sh"
"ceuta","January 2010",545,7,0.0128440366972477
"ceuta","June 2016",606,7,0.0115511551155116
"ciudad real","June 2001",11525,159,0.0137960954446855
"ciudad real","January 2010",13077,95,0.0072646631490403
"ciudad real","June 2016",13457,84,0.00624210448093929
"cordoba","June 2001",13044,43,0.00329653480527446
"cordoba","January 2010",15562,34,0.00218480915049479
"cordoba","June 2016",16050,34,0.0021183800623053
"cuenca","June 2001",10397,221,0.0212561315764163
"cuenca","January 2010",11743,144,0.0122626245422805
"cuenca","June 2016",12052,115,0.00954198473282443
"gipuzkoa","June 2001",3980,1,0.000251256281407035
"gipuzkoa","January 2010",4374,1,0.000228623685413809
"gipuzkoa","June 2016",4473,1,0.000223563603845294
"girona","June 2001",18887,2,0.0001058929422354
"girona","January 2010",21225,2,9.4228504122497e-05
"girona","June 2016",21866,2,9.14662032379036e-05
"granada","June 2001",25020,111,0.00443645083932854
"granada","January 2010",29781,84,0.00282059030925758
"granada","June 2016",31250,82,0.002624
"guadalajara","June 2001",8854,123,0.0138920262028462
"guadalajara","January 2010",11127,57,0.00512267457535724
"guadalajara","June 2016",11530,51,0.00442324371205551
"huelva","June 2001",9798,50,0.00510308226168606
"huelva","January 2010",12194,34,0.0027882565195998
"huelva","June 2016",12798,30,0.0023441162681669
"huesca","June 2001",7617,27,0.00354470263883419
"huesca","January 2010",8928,20,0.00224014336917563
"huesca","June 2016",9321,15,0.00160926939169617
"jaen","June 2001",13900,105,0.00755395683453237
"jaen","January 2010",15811,72,0.00455379166403137
"jaen","June 2016",16464,54,0.0032798833819242
"la rioja","June 2001",6490,69,0.0106317411402157
"la rioja","January 2010",7270,48,0.00660247592847318
"la rioja","June 2016",7433,36,0.00484326651419346
"las palmas","June 2001",14671,85,0.00579374275782155
"las palmas","January 2010",17378,56,0.00322246518586719
"las palmas","June 2016",17712,45,0.00254065040650406
"leon","June 2001",15416,147,0.00953554748313441
"leon","January 2010",17634,119,0.00674832709538392
"leon","June 2016",18126,111,0.00612380006620324
"lleida","June 2001",14266,9,0.000630870601429973
"lleida","January 2010",17357,5,0.000288068214553206
"lleida","June 2016",18173,4,0.000220106751774611
"lugo","June 2001",3711,47,0.012665049851792
"lugo","January 2010",4083,13,0.00318393338231692
"lugo","June 2016",4249,11,0.00258884443398447
"madrid","June 2001",38728,194,0.00500929560008263
"madrid","January 2010",43791,168,0.00383640474070014
"madrid","June 2016",44426,151,0.00339891054787737
"malaga","June 2001",26197,48,0.00183227087071039
"malaga","January 2010",31909,39,0.00122222570434674
"malaga","June 2016",32985,35,0.00106108837350311
"melilla","June 2001",730,5,0.00684931506849315
"melilla","January 2010",982,5,0.00509164969450102
"melilla","June 2016",966,5,0.005175983436853
"murcia","June 2001",28032,166,0.00592180365296804
"murcia","January 2010",34900,147,0.00421203438395415
"murcia","June 2016",36275,138,0.00380427291523088
"navarra","June 2001",9906,43,0.00434080355340198
"navarra","January 2010",11700,28,0.00239316239316239
"navarra","June 2016",12141,23,0.00189440737995223
"ourense","June 2001",6300,35,0.00555555555555556
"ourense","January 2010",6906,23,0.00333043730089777
"ourense","June 2016",7102,23,0.0032385243593354
