"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
20,"20034",3192,2035,2030,11,5,"AMAIUR",855
31,"31228",540,376,364,13,12,"AMAIUR",26
31,"31078",2502,1880,1852,33,28,"AMAIUR",58
31,"31080",544,428,426,7,2,"AMAIUR",71
20,"20002",347,237,237,8,0,"AMAIUR",170
31,"31141",132,100,98,1,2,"AMAIUR",7
31,"31026",154,125,122,1,3,"AMAIUR",8
20,"20055",17856,11885,11791,91,94,"AMAIUR",4805
48,"48911",373,300,296,1,4,"AMAIUR",197
20,"20019",10105,6640,6555,73,85,"AMAIUR",2179
31,"31053",595,430,418,6,12,"AMAIUR",55
20,"20047",494,321,319,2,2,"AMAIUR",194
31,"31200",763,527,514,17,13,"AMAIUR",135
31,"31031",234,144,143,1,1,"AMAIUR",84
48,"48006",285,246,243,3,3,"AMAIUR",115
31,"31143",105,62,58,2,4,"AMAIUR",2
20,"20052",1154,849,847,14,2,"AMAIUR",417
20,"20039",2003,1517,1512,9,5,"AMAIUR",794
31,"31101",1305,892,874,15,18,"AMAIUR",192
48,"48039",263,217,216,4,1,"AMAIUR",88
20,"20015",1307,980,979,13,1,"AMAIUR",658
31,"31254",1956,1495,1476,16,19,"AMAIUR",79
48,"48091",1170,860,851,3,9,"AMAIUR",399
20,"20020",143,104,104,1,0,"AMAIUR",59
1,"1046",629,428,421,5,7,"AMAIUR",80
20,"20056",3975,2692,2669,17,23,"AMAIUR",1364
31,"31157",3567,2435,2393,32,42,"AMAIUR",142
31,"31027",824,611,609,2,2,"AMAIUR",394
20,"20064",12380,7568,7464,112,104,"AMAIUR",2701
31,"31241",164,117,116,4,1,"AMAIUR",19
31,"31156",268,202,201,5,1,"AMAIUR",56
31,"31008",97,64,63,1,1,"AMAIUR",6
48,"48022",2396,1524,1504,12,20,"AMAIUR",287
20,"20018",11027,7428,7387,53,41,"AMAIUR",4012
31,"31252",91,60,58,0,2,"AMAIUR",24
20,"20070",1109,817,815,4,2,"AMAIUR",540
31,"31116",71,48,48,2,0,"AMAIUR",1
31,"31207",280,198,195,7,3,"AMAIUR",70
31,"31025",751,501,495,12,6,"AMAIUR",154
31,"31247",171,121,121,1,0,"AMAIUR",44
48,"48075",1915,1362,1325,15,37,"AMAIUR",416
31,"31061",67,47,47,2,0,"AMAIUR",2
31,"31056",183,123,122,4,1,"AMAIUR",25
31,"31174",115,72,70,1,2,"AMAIUR",11
31,"31029",987,693,680,16,13,"AMAIUR",40
31,"31178",540,395,392,4,3,"AMAIUR",10
31,"31036",957,631,616,22,15,"AMAIUR",74
48,"48064",599,490,490,1,0,"AMAIUR",245
31,"31901",15574,11165,10974,201,191,"AMAIUR",1560
31,"31226",597,339,335,2,4,"AMAIUR",160
31,"31215",4618,3384,3315,54,69,"AMAIUR",34
31,"31144",840,509,508,7,1,"AMAIUR",239
20,"20009",11794,7805,7725,103,80,"AMAIUR",2545
31,"31004",36,21,20,0,1,"AMAIUR",1
31,"31076",2314,1843,1823,39,20,"AMAIUR",167
1,"1063",1803,1290,1284,18,6,"AMAIUR",350
31,"31108",1969,1474,1452,23,22,"AMAIUR",26
48,"48010",427,303,300,2,3,"AMAIUR",114
48,"48058",977,706,700,2,6,"AMAIUR",324
20,"20024",400,238,235,0,3,"AMAIUR",156
31,"31057",1863,1450,1409,32,41,"AMAIUR",11
31,"31212",173,117,117,3,0,"AMAIUR",3
48,"48094",3299,2398,2377,15,21,"AMAIUR",1036
31,"31251",3147,2274,2225,39,49,"AMAIUR",144
48,"48069",12381,8760,8672,66,88,"AMAIUR",2017
31,"31189",1229,745,740,5,5,"AMAIUR",286
31,"31120",408,267,265,8,2,"AMAIUR",60
48,"48040",1274,936,921,10,15,"AMAIUR",315
31,"31244",153,97,97,3,0,"AMAIUR",32
31,"31237",198,137,136,7,1,"AMAIUR",8
1,"1034",177,140,137,1,3,"AMAIUR",37
31,"31065",1927,1391,1362,39,29,"AMAIUR",77
20,"20901",1468,951,947,13,4,"AMAIUR",379
31,"31235",189,111,110,0,1,"AMAIUR",29
1,"1058",1342,877,872,8,5,"AMAIUR",400
48,"48015",34932,24209,23966,296,243,"AMAIUR",3359
1,"1020",317,222,220,0,2,"AMAIUR",80
31,"31222",67,46,44,3,2,"AMAIUR",10
31,"31018",422,303,299,8,4,"AMAIUR",39
31,"31068",3004,2258,2207,43,51,"AMAIUR",98
20,"20904",98,67,66,0,1,"AMAIUR",57
20,"20062",995,687,667,5,20,"AMAIUR",358
31,"31181",168,121,119,3,2,"AMAIUR",38
48,"48001",5842,4040,4020,23,20,"AMAIUR",1431
31,"31154",229,133,133,4,0,"AMAIUR",48
31,"31130",319,213,209,1,4,"AMAIUR",78
20,"20026",214,172,172,0,0,"AMAIUR",97
31,"31236",1333,887,874,15,13,"AMAIUR",216
1,"1033",679,537,532,2,5,"AMAIUR",50
31,"31205",465,335,325,9,10,"AMAIUR",20
31,"31073",332,228,226,1,2,"AMAIUR",103
48,"48079",470,391,391,2,0,"AMAIUR",165
31,"31262",219,158,157,4,1,"AMAIUR",30
48,"48914",324,278,276,0,2,"AMAIUR",127
31,"31111",100,75,75,1,0,"AMAIUR",22
1,"1056",256,183,181,1,2,"AMAIUR",23
31,"31081",335,249,243,8,6,"AMAIUR",102
48,"48905",2600,1903,1869,14,34,"AMAIUR",490
31,"31202",4247,3014,2957,69,57,"AMAIUR",94
20,"20003",547,361,359,3,2,"AMAIUR",260
31,"31182",45,28,28,2,0,"AMAIUR",6
20,"20048",175,102,102,1,0,"AMAIUR",72
20,"20032",8949,6189,6117,55,72,"AMAIUR",2022
20,"20069",146828,101992,101225,1287,767,"AMAIUR",24435
31,"31075",96,61,61,0,0,"AMAIUR",17
20,"20068",199,132,129,2,3,"AMAIUR",87
48,"48065",3311,2340,2323,23,17,"AMAIUR",689
31,"31122",4506,3333,3281,76,52,"AMAIUR",647
1,"1060",223,181,178,1,3,"AMAIUR",10
31,"31166",274,183,182,2,1,"AMAIUR",17
31,"31165",2868,2094,2046,43,48,"AMAIUR",44
48,"48910",3063,2122,2104,14,18,"AMAIUR",612
31,"31112",106,79,78,0,1,"AMAIUR",13
31,"31058",240,184,179,0,5,"AMAIUR",31
