"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
4028,1,1,0,0,1,1,0,0
4029,0,0,0,0,0,0,0,0
4030,0,0,0,0,0,0,0,0
4031,1,1,0,0,1,1,0,0
4032,0,1,1,0,0,1,1,0
4033,1,1,0,0,1,1,0,0
4034,0,0,0,0,0,0,0,0
4035,1,1,0,0,1,1,0,0
4036,0,0,0,0,0,0,0,0
4037,1,1,0,0,1,1,0,0
4038,1,1,0,0,1,1,0,0
4041,0,0,0,0,0,0,0,0
4043,0,1,1,0,0,1,1,0
4044,0,0,0,0,0,0,0,0
4045,1,1,0,0,1,1,0,0
4046,0,1,1,0,0,1,1,0
4047,0,0,0,0,0,0,0,0
4048,1,0,0,0,1,0,0,0
4049,1,1,0,0,1,1,0,0
4050,0,0,0,0,0,0,0,0
4051,1,0,0,0,1,0,0,0
4052,0,0,0,1,0,0,0,1
4053,0,0,0,0,0,0,0,0
4054,0,0,0,0,0,0,0,0
4055,1,1,0,0,1,1,0,0
4056,0,0,0,0,0,0,0,0
4057,0,0,0,0,0,0,0,0
4058,1,1,0,0,1,1,0,0
4059,1,1,0,0,1,1,0,0
4060,0,0,0,0,0,0,0,0
4061,1,0,0,0,1,0,0,0
4062,0,0,0,0,0,0,0,0
4063,0,0,0,0,0,0,0,0
4064,0,0,0,0,0,0,0,0
4065,1,1,0,0,1,1,0,0
4066,1,1,0,0,1,1,0,0
4067,1,1,0,0,1,1,0,0
4068,1,1,0,0,1,1,0,0
4069,0,0,0,0,0,0,0,0
4070,0,0,0,0,0,0,0,0
4071,1,1,0,0,1,1,0,0
4072,0,0,0,0,0,0,0,0
4073,1,1,0,0,1,1,0,0
4074,1,1,0,0,1,1,0,0
4075,0,0,0,0,0,0,0,0
4076,1,1,0,0,1,1,0,0
4077,0,0,0,0,0,0,0,0
4078,1,1,0,0,1,1,0,0
4079,0,0,0,0,0,0,0,0
4080,0,0,0,0,0,0,0,0
4081,1,1,0,0,1,1,0,0
