"ESTU","CUES","CCAA","PROV","MUN","TAMUNI","AREA","DISTR","SECCION","ENTREV","P1","P2","P3","P401","P402","P403","P404","P501","P502","P601","P602","P6A","P701","P702","P801","P802","P9","P10","P10A","P11","P11A","P12","P12A","P1301","P1302","P1303","P1304","P1305","P1306","P13A","P1401","P14A01","P1402","P14A02","P1403","P14A03","P15.P17","P18","P18A","P1901","P1902","P1903","P1904","P1905","P2001.P22","P23","P23A","P23B","P23C","P24","P24A","P2501","P2502","P2503","P2504","P2505","P2506","P26","P26A","P27","P27A","P28","P29","P29A","P30.P35","P36.P38","P38A","P39","P40","P40A","P41","P42.P48","P49","P50","P51","P52","P53","P54","P55.P55A.P56","P56A","P57","P58.P58A","P59","P60","P61.P61A","P62","P63","P6401","P6402","P6403","P6404","P6501","P6502","P6503","P6504","P6505","P66","P67","P68","P69","P7001","P7002","I1","I2","I3","I4","I5","I6","I7","I8","I9","E101","E102","E103","E2","E3","E4","C1","C1A","C2","C2A","C2B","C3","FINAL","PESO","RECUERDO","OCUPAPAD","ESTUDIOS","OCUPA","CONDICION","ESTATUS"
2760,1762,13,28,79,7,0,0,0,0,1,4,4,5,1,5,5,22,13,2,4,4,1,7,7,4,4,16,16,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,NA,0,33138212,1,1,1,1,1,1,3,222221222229131328,1,6,5,1,1,1,8,1,1,1,1,1,4,9,4,NA,0,21,8,1458313313121333248,815,0,2,1,3,4,"99 3 3 0 0 0 0",2,862,28,4,2,51,423,5,0,30,1,430,13,36,1,NA,NA,NA,NA,14,20,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,2,1,NA,1,NA,NA,NA,28,4,8,1,20,3,1,NA,1,NA,NA,1,8,"1,5004",8,8,3,4,5,NA
2760,1763,13,28,79,7,0,0,0,0,1,4,4,5,1,3,5,98,NA,5,4,14,1,99,99,99,9,40,40,1,1,4,4,NA,NA,NA,NA,NA,1,NA,97,0,0,0,0,0,38888888,8,0,8,1,8,8,9,222222222221812128,1,4,1,4,8,8,8,3,3,1,3,2,4,7,4,NA,0,31,2,1158121132112333312,111,2,3,1,2,99,"999999 0 0 0 0",1,602,40,4,2,75,103,2,99,14,3,999,90,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,28,4,8,1,23,3,1,NA,1,NA,NA,1,8,"1,5004",2,6,2,99,8,NA
2760,1764,13,28,79,7,0,0,0,0,1,1,3,1,1,1,5,20,NA,5,2,14,3,7,1,9,1,5,5,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,NA,0,92111331,3,0,1,1,1,1,3,222222222221191104,1,4,1,4,2,2,1,3,1,1,1,1,4,9,4,NA,0,31,2,1243111133111332096,211,2,24,1,2,5," 41099 0 0 0 0",3,935,28,4,1,52,103,5,4,11,1,332,13,15,1,1,NA,NA,NA,14,17,18,22,25,1,1,1,NA,NA,NA,1,NA,4,NA,NA,NA,1,NA,NA,28,4,8,1,18,NA,1,NA,1,NA,NA,1,8,"1,5004",2,9,3,3,2,NA
2760,1765,13,28,79,7,0,0,0,0,1,2,3,2,1,2,5,8,19,4,5,16,1,9,9,5,8,24,47,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,97,0,0,0,0,0,83113333,1,3,1,1,1,1,3,2222223131113,1,3,5,2,1,1,3,3,3,1,3,1,3,3,4,NA,0,22,0,3143111138131332096,211,1,98,1,1,4," 2 6 5 0 0 0 0",1,264,24,4,1,27,513,10,7,11,1,214,13,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,11,2,4,4,3,NA,3,6,5,8,2,18,2,1,NA,1,NA,NA,1,8,"1,5004",1,2,6,2,2,NA
2760,1766,13,28,79,7,0,0,0,0,1,2,3,2,1,1,5,10,2,2,4,5,4,1,4,1,3,28,48,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,6,2,NA,0,13813332,8,0,1,1,2,1,3,222222212228131328,1,2,5,1,1,1,1,1,1,1,1,3,4,1,4,NA,0,21,1,1433122133131232256,111,3,2,1,3,3," 2 5 8 0 0 0 0",3,304,28,4,2,60,103,10,0,40,1,222,11,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,11,7,NA,NA,NA,NA,NA,6,5,8,2,19,2,1,NA,1,NA,NA,1,8,"1,5004",3,3,6,2,2,NA
2760,1767,13,28,79,7,0,0,0,0,1,2,4,1,1,2,1,4,13,2,5,5,1,9,2,5,9,95,95,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,3,2,NA,0,NA,0,11813139,1,1,1,8,1,1,3,222221222222111104,1,6,1,7,2,2,3,1,1,1,1,3,4,2,4,NA,0,21,7,1423121113132333312,821,5,97,1,2,5," 2 699 0 0 0 0",9,221,28,4,1,51,103,5,8,21,1,354,40,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,7,4,NA,1,1,4,NA,6,5,8,3,5,NA,1,NA,1,NA,NA,1,8,"1,5004",5,2,3,3,1,NA
2760,1768,13,28,79,7,0,0,0,0,1,3,4,1,1,5,5,4,2,2,1,5,1,99,4,99,2,8,8,4,4,4,4,NA,NA,NA,NA,NA,1,NA,9,1,6,1,6,1,31133132,3,0,1,1,1,3,1,222222222221111200,1,4,1,4,2,2,1,3,1,9,1,3,4,3,2,9,9,21,1,1411111131311333376,811,2,5,1,2,4," 4 5 5 0 0 0 0",1,304,8,4,2,75,103,5,4,11,3,998,13,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA,6,5,8,2,18,3,1,NA,1,NA,NA,1,8,"1,5004",2,3,3,9,8,NA
2760,1769,13,28,79,7,0,0,0,0,1,3,3,1,1,3,4,10,NA,4,5,12,4,1,9,7,2,4,28,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,97,0,0,0,0,0,13123332,2,0,8,1,8,1,3,222222222223131328,1,2,3,1,1,1,8,3,3,1,1,3,2,3,4,NA,0,21,1,1323131133232312320,111,1,2,1,1,3,"99 6 6 0 0 0 0",2,170,28,4,2,46,523,11,3,11,1,253,11,75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,5,NA,23,5,1,NA,17,NA,NA,9,5,8,5,17,2,1,NA,1,NA,NA,1,8,"1,5004",1,1,6,2,2,NA
2760,1770,13,28,79,7,0,0,0,0,1,4,4,1,1,4,5,4,12,2,5,99,1,99,99,99,3,19,19,1,1,2,3,NA,NA,NA,NA,NA,1,NA,97,0,0,0,0,0,31111111,1,1,1,3,1,1,1,222222222221133120,1,9,1,4,1,1,3,1,3,1,3,1,9,9,4,NA,0,11,1,1191311381311333376,181,2,27,1,2,99,"999999 0 0 0 0",2,120,19,4,1,81,103,8,99,19,2,272,13,85,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,6,NA,4,3,3,NA,3,NA,NA,9,5,8,5,18,2,1,NA,1,NA,NA,1,8,"1,5004",2,1,5,2,8,NA
2760,1771,13,28,79,7,0,0,0,0,1,3,3,1,1,3,5,4,13,2,5,3,9,1,5,9,2,28,19,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,4,1,NA,0,NA,0,83233392,2,0,1,1,8,1,1,222229999999181120,1,6,8,9,2,2,3,3,1,9,1,3,1,1,4,NA,0,31,4,1991313191132122112,111,1,28,1,23,4," 3 3 5 0 0 0 0",9,863,28,4,1,53,103,10,3,30,1,222,11,80,1,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,2,1,NA,NA,NA,7,NA,6,9,1,NA,5,NA,NA,9,5,8,5,18,2,2,1,1,NA,NA,1,8,"1,5004",1,8,6,2,2,NA
