"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PSOE2019_04","VOX2019_04","part2019_04","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","VOX2015_12","part2015_12","PSOE2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PP_share"
9227,"burgos","Montorio",5.14749447681345,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0.0116279069767442,0.0116279069767442,0.362637362637363,0.131868131868132,0.823008849557522,0.213483146067416,0.0337078651685393,0.764705882352941,0.252631578947368,0,0.815126050420168,0.34,0.763358778625954,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27808988764045,"2019_04",26.3736263736264
9227,"burgos","Montorio",5.14749447681345,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0.0116279069767442,0.0116279069767442,0.362637362637363,0.131868131868132,0.823008849557522,0.213483146067416,0.0337078651685393,0.764705882352941,0.252631578947368,0,0.815126050420168,0.34,0.763358778625954,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27808988764045,"2016_06",35.9550561797753
9227,"burgos","Montorio",5.14749447681345,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0.0116279069767442,0.0116279069767442,0.362637362637363,0.131868131868132,0.823008849557522,0.213483146067416,0.0337078651685393,0.764705882352941,0.252631578947368,0,0.815126050420168,0.34,0.763358778625954,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27808988764045,"2015_12",41.0526315789474
9227,"burgos","Montorio",5.14749447681345,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0.0116279069767442,0.0116279069767442,0.362637362637363,0.131868131868132,0.823008849557522,0.213483146067416,0.0337078651685393,0.764705882352941,0.252631578947368,0,0.815126050420168,0.34,0.763358778625954,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27808988764045,"2011_11",56
9228,"burgos","Moradillo de Roa",5.26785815906333,"castilla y leon",0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,0.0257731958762887,0.0257731958762887,0.227941176470588,0.0441176470588235,0.866242038216561,0.132352941176471,0.00735294117647059,0.85625,0.144927536231884,0.0072463768115942,0.846625766871166,0.202797202797203,0.851190476190476,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,2.2842377260982,"2019_04",43.3823529411765
9228,"burgos","Moradillo de Roa",5.26785815906333,"castilla y leon",0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,0.0257731958762887,0.0257731958762887,0.227941176470588,0.0441176470588235,0.866242038216561,0.132352941176471,0.00735294117647059,0.85625,0.144927536231884,0.0072463768115942,0.846625766871166,0.202797202797203,0.851190476190476,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,2.2842377260982,"2016_06",58.0882352941177
9228,"burgos","Moradillo de Roa",5.26785815906333,"castilla y leon",0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,0.0257731958762887,0.0257731958762887,0.227941176470588,0.0441176470588235,0.866242038216561,0.132352941176471,0.00735294117647059,0.85625,0.144927536231884,0.0072463768115942,0.846625766871166,0.202797202797203,0.851190476190476,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,2.2842377260982,"2015_12",53.6231884057971
9228,"burgos","Moradillo de Roa",5.26785815906333,"castilla y leon",0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,0.0257731958762887,0.0257731958762887,0.227941176470588,0.0441176470588235,0.866242038216561,0.132352941176471,0.00735294117647059,0.85625,0.144927536231884,0.0072463768115942,0.846625766871166,0.202797202797203,0.851190476190476,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,2.2842377260982,"2011_11",62.2377622377622
9229,"burgos","Nava de Roa",5.46383180502561,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,0,0,11,10,0.0466101694915254,0.0423728813559322,0.338235294117647,0.139705882352941,0.743169398907104,0.300699300699301,0,0.737373737373737,0.282758620689655,0,0.72636815920398,0.404907975460123,0.765258215962441,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0.901782014090345,"2019_04",35.2941176470588
9229,"burgos","Nava de Roa",5.46383180502561,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,0,0,11,10,0.0466101694915254,0.0423728813559322,0.338235294117647,0.139705882352941,0.743169398907104,0.300699300699301,0,0.737373737373737,0.282758620689655,0,0.72636815920398,0.404907975460123,0.765258215962441,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0.901782014090345,"2016_06",58.041958041958
9229,"burgos","Nava de Roa",5.46383180502561,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,0,0,11,10,0.0466101694915254,0.0423728813559322,0.338235294117647,0.139705882352941,0.743169398907104,0.300699300699301,0,0.737373737373737,0.282758620689655,0,0.72636815920398,0.404907975460123,0.765258215962441,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0.901782014090345,"2015_12",53.7931034482759
9229,"burgos","Nava de Roa",5.46383180502561,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,0,0,11,10,0.0466101694915254,0.0423728813559322,0.338235294117647,0.139705882352941,0.743169398907104,0.300699300699301,0,0.737373737373737,0.282758620689655,0,0.72636815920398,0.404907975460123,0.765258215962441,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0.901782014090345,"2011_11",53.9877300613497
9235,"burgos","Olmedillo de Roa",5.24702407216049,"castilla y leon",4,0,1,1,1,1,0,0,4,5,5,1,1,10,6,0.0526315789473684,0.0315789473684211,0.362745098039216,0.0784313725490196,0.75,0.259541984732824,0,0.846153846153846,0.308943089430894,0,0.775,0.415492957746479,0.826815642458101,0,0,0,0,0,0,0,0,1.6094379124341,1.79175946922805,0.693147180559945,0.693147180559945,1.6094379124341,1.33571428571429,"2019_04",34.3137254901961
9235,"burgos","Olmedillo de Roa",5.24702407216049,"castilla y leon",4,0,1,1,1,1,0,0,4,5,5,1,1,10,6,0.0526315789473684,0.0315789473684211,0.362745098039216,0.0784313725490196,0.75,0.259541984732824,0,0.846153846153846,0.308943089430894,0,0.775,0.415492957746479,0.826815642458101,0,0,0,0,0,0,0,0,1.6094379124341,1.79175946922805,0.693147180559945,0.693147180559945,1.6094379124341,1.33571428571429,"2016_06",48.0916030534351
9235,"burgos","Olmedillo de Roa",5.24702407216049,"castilla y leon",4,0,1,1,1,1,0,0,4,5,5,1,1,10,6,0.0526315789473684,0.0315789473684211,0.362745098039216,0.0784313725490196,0.75,0.259541984732824,0,0.846153846153846,0.308943089430894,0,0.775,0.415492957746479,0.826815642458101,0,0,0,0,0,0,0,0,1.6094379124341,1.79175946922805,0.693147180559945,0.693147180559945,1.6094379124341,1.33571428571429,"2015_12",39.0243902439024
9235,"burgos","Olmedillo de Roa",5.24702407216049,"castilla y leon",4,0,1,1,1,1,0,0,4,5,5,1,1,10,6,0.0526315789473684,0.0315789473684211,0.362745098039216,0.0784313725490196,0.75,0.259541984732824,0,0.846153846153846,0.308943089430894,0,0.775,0.415492957746479,0.826815642458101,0,0,0,0,0,0,0,0,1.6094379124341,1.79175946922805,0.693147180559945,0.693147180559945,1.6094379124341,1.33571428571429,"2011_11",47.1830985915493
