"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","VOX2019_04","part2019_04","PP2016_06","VOX2016_06","part2016_06","PP2015_12","VOX2015_12","part2015_12","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PSOE_share"
45055,"toledo","Cuerva",7.33367639565768,"castilla-la mancha",0,0,0,0,0,0,0,0,8,8,8,8,8,140,91,0.0914435009797518,0.0594382756368387,0.300724637681159,0.136473429951691,0.845691382765531,0.492405063291139,0.00126582278481013,0.804901960784314,0.453032104637337,0.00713436385255648,0.830426356589147,0.572413793103448,0.842205323193916,0,1,1,0,0,1,1,0,2.19722457733622,2.19722457733622,2.19722457733622,2.19722457733622,0,1.37813983473011,"2015_12",37.0986920332937
45055,"toledo","Cuerva",7.33367639565768,"castilla-la mancha",0,0,0,0,0,0,0,0,8,8,8,8,8,140,91,0.0914435009797518,0.0594382756368387,0.300724637681159,0.136473429951691,0.845691382765531,0.492405063291139,0.00126582278481013,0.804901960784314,0.453032104637337,0.00713436385255648,0.830426356589147,0.572413793103448,0.842205323193916,0,1,1,0,0,1,1,0,2.19722457733622,2.19722457733622,2.19722457733622,2.19722457733622,0,1.37813983473011,"2011_11",36.3218390804598
45057,"toledo","Chueca",5.6021188208797,"castilla-la mancha",8,0,1,1,1,1,0,0,8,8,8,0,0,43,32,0.158671586715867,0.118081180811808,0.298913043478261,0.195652173913043,0.839285714285714,0.548022598870056,0,0.810810810810811,0.532967032967033,0.00549450549450549,0.846153846153846,0.62962962962963,0.887387387387387,1,1,0,0,1,1,0,0,2.19722457733622,2.19722457733622,0,0,2.19722457733622,1.12267180475273,"2019_04",34.2391304347826
45057,"toledo","Chueca",5.6021188208797,"castilla-la mancha",8,0,1,1,1,1,0,0,8,8,8,0,0,43,32,0.158671586715867,0.118081180811808,0.298913043478261,0.195652173913043,0.839285714285714,0.548022598870056,0,0.810810810810811,0.532967032967033,0.00549450549450549,0.846153846153846,0.62962962962963,0.887387387387387,1,1,0,0,1,1,0,0,2.19722457733622,2.19722457733622,0,0,2.19722457733622,1.12267180475273,"2016_06",33.3333333333333
45057,"toledo","Chueca",5.6021188208797,"castilla-la mancha",8,0,1,1,1,1,0,0,8,8,8,0,0,43,32,0.158671586715867,0.118081180811808,0.298913043478261,0.195652173913043,0.839285714285714,0.548022598870056,0,0.810810810810811,0.532967032967033,0.00549450549450549,0.846153846153846,0.62962962962963,0.887387387387387,1,1,0,0,1,1,0,0,2.19722457733622,2.19722457733622,0,0,2.19722457733622,1.12267180475273,"2015_12",34.0659340659341
45057,"toledo","Chueca",5.6021188208797,"castilla-la mancha",8,0,1,1,1,1,0,0,8,8,8,0,0,43,32,0.158671586715867,0.118081180811808,0.298913043478261,0.195652173913043,0.839285714285714,0.548022598870056,0,0.810810810810811,0.532967032967033,0.00549450549450549,0.846153846153846,0.62962962962963,0.887387387387387,1,1,0,0,1,1,0,0,2.19722457733622,2.19722457733622,0,0,2.19722457733622,1.12267180475273,"2011_11",32.2751322751323
45062,"toledo","Escalonilla",7.34601020991329,"castilla-la mancha",0,0,0,0,0,0,0,0,2,2,2,2,2,180,130,0.116129032258064,0.0838709677419354,0.378316032295271,0.181084198385236,0.826815642458101,0.53517877739331,0.00230680507497117,0.789568345323741,0.552572706935123,0.00559284116331096,0.811775200713649,0.752155172413793,0.826012058570198,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,1.34640064324904,"2019_04",28.6043829296424
45062,"toledo","Escalonilla",7.34601020991329,"castilla-la mancha",0,0,0,0,0,0,0,0,2,2,2,2,2,180,130,0.116129032258064,0.0838709677419354,0.378316032295271,0.181084198385236,0.826815642458101,0.53517877739331,0.00230680507497117,0.789568345323741,0.552572706935123,0.00559284116331096,0.811775200713649,0.752155172413793,0.826012058570198,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,1.34640064324904,"2016_06",28.8350634371396
45062,"toledo","Escalonilla",7.34601020991329,"castilla-la mancha",0,0,0,0,0,0,0,0,2,2,2,2,2,180,130,0.116129032258064,0.0838709677419354,0.378316032295271,0.181084198385236,0.826815642458101,0.53517877739331,0.00230680507497117,0.789568345323741,0.552572706935123,0.00559284116331096,0.811775200713649,0.752155172413793,0.826012058570198,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,1.34640064324904,"2015_12",28.7472035794183
45062,"toledo","Escalonilla",7.34601020991329,"castilla-la mancha",0,0,0,0,0,0,0,0,2,2,2,2,2,180,130,0.116129032258064,0.0838709677419354,0.378316032295271,0.181084198385236,0.826815642458101,0.53517877739331,0.00230680507497117,0.789568345323741,0.552572706935123,0.00559284116331096,0.811775200713649,0.752155172413793,0.826012058570198,0,0,0,0,0,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,1.34640064324904,"2011_11",19.3965517241379
