"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_11","PSOE2019_11","VOX2019_11","part2019_11","PP2019_04","PSOE2019_04","VOX2019_04","part2019_04","PP2016_06","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","PP2015_12","VOX2015_12","part2015_12","PSOE2011_11","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX"
6109,"badajoz","Quintana de la Serena",8.51197962436335,"extremadura",0,0,0,0,0,0,0,0,1,1,1,1,1,916,714,0.184157619622034,0.143546441495778,0.217916814788482,0.550657660860292,0.0981158905083541,0.770217220622874,0.18222794591114,0.535737282678686,0.0566645202833226,0.839968774395004,0.323705179282869,0.463811420982736,0.00099601593625498,0.800969635110998,0.510859301227573,0.287692791942084,NA,0.823351023502654,0.475682087781732,0.436832740213523,0.85746380429356,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.7315224768122
6110,"badajoz","Reina",5.26785815906333,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0.0721649484536082,0.0515463917525773,0.284313725490196,0.5,0.117647058823529,0.760869565217391,0.276190476190476,0.485714285714286,0.0666666666666667,0.773722627737226,0.444444444444444,0.444444444444444,0,0.72972972972973,0.413461538461538,0.413461538461538,NA,0.708609271523179,0.524193548387097,0.395161290322581,0.738636363636364,1,1,0,0,1,1,0,0,0,0,0,0,0,1.76470588235293
6111,"badajoz","Rena",6.49223983502047,"extremadura",2,0,1,1,1,1,0,0,2,2,2,0,0,42,33,0.0636363636363636,0.05,0.178343949044586,0.535031847133758,0.0923566878980892,0.652977412731006,0.17027027027027,0.491891891891892,0.0486486486486487,0.758620689655172,0.267062314540059,0.528189910979229,0,0.674,0.562674094707521,0.245125348189415,NA,0.710059171597633,0.483204134366925,0.382428940568475,0.774900398406374,1,0,0,0,1,0,0,0,1.09861228866811,1.09861228866811,0,0,1.09861228866811,1.89844302901628
6112,"badajoz","Retamal de Llerena",6.20253551718792,"extremadura",1,0,1,1,1,1,0,0,2,2,2,1,1,69,60,0.139676113360324,0.121457489878542,0.262798634812287,0.474402730375427,0.136518771331058,0.778364116094987,0.230538922155689,0.464071856287425,0.101796407185629,0.872062663185379,0.401869158878505,0.433021806853583,0,0.821882951653944,0.396396396396396,0.375375375375375,NA,0.852417302798982,0.423312883435583,0.530674846625767,0.802919708029197,1,1,0,0,1,1,0,0,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,1.34109616542863
6113,"badajoz","Ribera del Fresno",8.15937473677543,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,399,290,0.114130434782609,0.0829519450800915,0.202470461868958,0.39312567132116,0.160580021482277,0.713099282748207,0.184489402697495,0.398843930635838,0.0953757225433526,0.790810608890549,0.360223236935566,0.346524606798579,0.0015220700152207,0.736493936052922,0.381207400194742,0.32667964946446,NA,0.767339449541284,0.434204275534442,0.43895486935867,0.779272727272727,1,1,0,0,1,1,0,0,0,0,0,0,0,1.68365719493539
6114,"badajoz","Risco",5.03695260241363,"extremadura",1,0,1,1,1,1,0,0,1,1,1,0,0,25,20,0.162337662337662,0.12987012987013,0.180952380952381,0.676190476190476,0.0761904761904762,0.826771653543307,0.157407407407407,0.675925925925926,0.0648148148148148,0.858267716535433,0.285714285714286,0.625,0,0.817518248175182,0.681034482758621,0.267241379310345,NA,0.783783783783784,0.663934426229508,0.270491803278689,0.802631578947368,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.17551020408163
6115,"badajoz","Roca de la Sierra, La",7.32712329225929,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,173,146,0.113740959894806,0.0959894806048652,0.211779448621554,0.37218045112782,0.214285714285714,0.650040225261464,0.192922374429224,0.373287671232877,0.133561643835616,0.722445695897023,0.400240384615385,0.393028846153846,0,0.666931007137193,0.385697538100821,0.339976553341149,NA,0.688095238095238,0.404519774011299,0.468926553672316,0.708168120539255,1,1,0,0,1,1,0,0,0,0,0,0,0,1.60439560439561
6116,"badajoz","Salvaleon",7.59085212368858,"extremadura",0,0,0,0,0,0,0,0,1,1,2,1,1,201,169,0.101515151515152,0.0853535353535353,0.24248496993988,0.485971943887776,0.143286573146293,0.676666666666667,0.232517482517483,0.499125874125874,0.0786713286713287,0.765873015873016,0.407758620689655,0.431896551724138,0,0.737870195337114,0.449086161879896,0.348999129677981,NA,0.726820161792159,0.439635535307517,0.466211085801063,0.792261904761905,0,1,1,0,0,1,1,0,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0,1.82133155199288
6117,"badajoz","Salvatierra de los Barros",7.4770384723197,"extremadura",0,0,0,0,0,0,0,0,2,2,2,2,2,223,151,0.1262026032824,0.0854555744199208,0.303757828810021,0.388308977035491,0.174321503131524,0.707492795389049,0.26991565135895,0.404873477038425,0.098406747891284,0.777301927194861,0.477611940298507,0.357142857142857,0,0.674157303370786,0.391852570320078,0.440349175557711,NA,0.736767819336627,0.387610619469027,0.552212389380531,0.785180149558124,0,1,1,0,0,1,1,0,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,0,1.77143851277463
6118,"badajoz","Sancti-Spiritus",5.47227067367148,"extremadura",0,1,1,0,0,0,0,0,5,0,0,0,0,20,15,0.0840336134453781,0.0630252100840336,0.232142857142857,0.642857142857143,0.0357142857142857,0.735483870967742,0.208,0.632,0.024,0.796178343949045,0.319444444444444,0.583333333333333,0,0.755208333333333,0.560975609756098,0.341463414634146,NA,0.800970873786408,0.569060773480663,0.375690607734807,0.793859649122807,1,1,0,0,1,1,0,0,1.79175946922805,0,0,0,0,1.48809523809524
6119,"badajoz","San Pedro de Merida",6.77764659363512,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,102,85,0.116173120728929,0.0968109339407745,0.181996086105675,0.440313111545988,0.26027397260274,0.765578635014837,0.162705667276051,0.418647166361974,0.182815356489945,0.809104258443465,0.406813627254509,0.452905811623247,0,0.727140783744557,0.468871595330739,0.363813229571984,NA,0.74037089871612,0.397003745318352,0.524344569288389,0.792647058823529,1,1,0,0,1,1,0,0,0,0,0,0,0,1.42369863013699
6120,"badajoz","Santa Amalia",8.36147461641682,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,371,255,0.0867025005842486,0.0595933629352652,0.230487804878049,0.484552845528455,0.13739837398374,0.743916913946588,0.209635895549835,0.472968002942258,0.0820154468554616,0.817373258227097,0.364406779661017,0.443099273607748,0,0.738270876364709,0.475384615384615,0.326923076923077,NA,0.776598880047156,0.423932871214885,0.470266326158336,0.790193842645382,0,1,1,0,0,1,1,0,0,0,0,0,0,1.6752743446717
6121,"badajoz","Santa Marta",8.37539918579835,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,579,404,0.133440884996543,0.0931090112929246,0.254432624113475,0.359929078014184,0.201684397163121,0.702380952380952,0.220071118135124,0.388384037929672,0.107862504938759,0.782741738066095,0.426601423487544,0.360320284697509,0.000889679715302491,0.679284649776453,0.400724929520741,0.364478453483689,NA,0.744309784215194,0.401953418482344,0.498873027798648,0.785797438882421,1,1,0,0,1,1,0,0,0,0,0,0,0,1.86982860520096
