"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","PSOE2019_04","part2019_04","PP2016_06","PSOE2016_06","part2016_06","PSOE2015_12","PP2015_12","part2015_12","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","VOX_share"
11022,"cadiz","Linea de la Concepcion, La",11.0884610068523,"andalucia",0,0,0,0,0,0,0,0,4,4,4,4,4,9573,8439,0.146349293707577,0.129013025133003,0.142872562423545,0.320141037634022,0.577482437040384,0.314213893967093,0.329791285801341,0.544242424242424,0.292826491474576,0.273421182546615,0.544220755258518,0,0,0,0,0,0,0,0,1.6094379124341,1.6094379124341,1.6094379124341,1.6094379124341,0,1.57092876186317,"2015_12",0.273421182546614
11023,"cadiz","Medina-Sidonia",9.37949225472149,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,2108,1664,0.177995440344507,0.140504939626784,0.0959712230215827,0.451654676258993,0.750320102432778,0.221609702315325,0.459757442116869,0.685708172871202,0.440675519630485,0.176530023094688,0.747273893521488,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.6035261153699,"2019_04",9.97122302158273
11023,"cadiz","Medina-Sidonia",9.37949225472149,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,2108,1664,0.177995440344507,0.140504939626784,0.0959712230215827,0.451654676258993,0.750320102432778,0.221609702315325,0.459757442116869,0.685708172871202,0.440675519630485,0.176530023094688,0.747273893521488,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.6035261153699,"2016_06",0.126004095133092
11023,"cadiz","Medina-Sidonia",9.37949225472149,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,2108,1664,0.177995440344507,0.140504939626784,0.0959712230215827,0.451654676258993,0.750320102432778,0.221609702315325,0.459757442116869,0.685708172871202,0.440675519630485,0.176530023094688,0.747273893521488,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.6035261153699,"2015_12",0.129907621247113
11024,"cadiz","Olvera",9.04393153364228,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,697,571,0.0823195937167828,0.067438289831109,0.166595472020504,0.425672789406237,0.725201276013975,0.28873543375054,0.425550280535175,0.69849769448163,0.439684106614018,0.244422507403751,0.759317000742391,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00141187045966,"2019_04",5.95899188381034
11024,"cadiz","Olvera",9.04393153364228,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,697,571,0.0823195937167828,0.067438289831109,0.166595472020504,0.425672789406237,0.725201276013975,0.28873543375054,0.425550280535175,0.69849769448163,0.439684106614018,0.244422507403751,0.759317000742391,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00141187045966,"2016_06",0.0431592576607682
11024,"cadiz","Olvera",9.04393153364228,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,697,571,0.0823195937167828,0.067438289831109,0.166595472020504,0.425672789406237,0.725201276013975,0.28873543375054,0.425550280535175,0.69849769448163,0.439684106614018,0.244422507403751,0.759317000742391,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.00141187045966,"2015_12",0.0592300098716683
11025,"cadiz","Paterna de Rivera",8.63976474380442,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1085,813,0.191967445152158,0.143842887473461,0.158292282430213,0.531034482758621,0.70464904284412,0.186095505617978,0.544943820224719,0.659163256025466,0.556836375280179,0.177393531860391,0.726315789473684,1,1,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.71728887278,"2019_04",4.76190476190476
11025,"cadiz","Paterna de Rivera",8.63976474380442,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1085,813,0.191967445152158,0.143842887473461,0.158292282430213,0.531034482758621,0.70464904284412,0.186095505617978,0.544943820224719,0.659163256025466,0.556836375280179,0.177393531860391,0.726315789473684,1,1,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.71728887278,"2016_06",0.140449438202247
11025,"cadiz","Paterna de Rivera",8.63976474380442,"andalucia",0,0,0,0,0,0,0,0,1,1,1,1,1,1085,813,0.191967445152158,0.143842887473461,0.158292282430213,0.531034482758621,0.70464904284412,0.186095505617978,0.544943820224719,0.659163256025466,0.556836375280179,0.177393531860391,0.726315789473684,1,1,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,2.71728887278,"2015_12",0.064040986231188
